store_name,address,phone,manager_name,manager_email,store_type,description,latitude,longitude
Jordan and Sons - Envisioneer Global Action-Items,"15 Clifford rue, East Jay, N0S 6SH",(0909) 8790241,Dr Brett Bell,twood@parry-howe.org,Superstore,Modi magni rem sunt officia. Culpa voluptates eaque consequuntur doloremque enim a.,,
Quinn PLC - Reinvent Front-End Schemas,"9 Harrison forges, West Jeremy, SA8 2BG",(028) 9018 0622,Dr Wayne Jackson,mchambers@yahoo.co.uk,Superstore,Dolores libero exercitationem. Adipisci harum accusantium nulla repellat laboriosam.,,
Manning Group - Synergize World-Class Synergies,"Studio 1, Phillips square, Elaineland, WA2N 8SA",(0114) 4960418,Eileen Kent,ybrown@outlook.com,Proctors local,Nihil soluta molestiae nulla. Nihil odit repellat voluptatum nisi occaecati quasi. Itaque natus esse.,,
Smith-Young - Empower Dot-Com Initiatives,"360 Shaw estates, Harriston, S6 0SS",+44161 496 0791,Carol Harper,liam19@hotmail.co.uk,Online Collection Only,Nisi nulla minus possimus repellat illum. Magnam officia magni libero esse occaecati dolor.,,
Gough-Dale - Deploy World-Class Content,"289 Lawrence estate, Wattsport, G2T 1DR",+4428 9018275,Lucy Benson,mjones@hotmail.co.uk,Superstore,Architecto esse nemo odit beatae a debitis. Distinctio maxime cum harum in.,,
Taylor Group - Matrix Collaborative E-Services,"213 Gibson plaza, Ritaton, WD8N 6RZ",+4420 74960819,Shane Atkins,sandrajones@higgins-nash.com,Proctors local,Voluptas provident veniam voluptates eligendi deleniti. Blanditiis ducimus deleniti sed earum.,,
Richardson-Wright - Empower Viral Synergies,"Studio 7, Stephen forge, North Leighberg, WN7 3QZ",+44(0)131 496 0267,Mary Norris-Thomas,mathew09@barnett.com,Superstore,Iure nostrum fugiat aliquid tempora consectetur non. Fugiat nemo excepturi tempore perferendis recusandae fuga id. Autem alias itaque tenetur non ad.,,
"Pearson, Mills and Burton - Evolve Bleeding-Edge Methodologies","Flat 60, Antony inlet, Frankville, N16 7HX",(029) 2018 0321,Mr Philip Cox,jasmine10@bray.co.uk,Online Collection Only,Iure beatae corrupti quia minima voluptas. Rem harum reiciendis ducimus. Explicabo quo adipisci dolores magnam consequatur.,,
"Stevens, Morgan and Davidson - Extend Ubiquitous Mindshare","Flat 94, Little trail, Barrychester, M1 9TR",0808 1570356,Sam Griffin,stuartspencer@hotmail.co.uk,Online Collection Only,Officiis debitis officiis fugit soluta. Culpa distinctio eius accusantium incidunt perferendis fugiat. Nemo corporis est laborum quidem.,,
Watkins and Sons - Engage Clicks-And-Mortar Mindshare,"Flat 57E, Porter corner, Sylviaborough, HX84 6SD",(0306) 999 0180,Carolyn Woods-Brown,dorothy09@franklin-townsend.org,Online Collection Only,Mollitia accusantium eius illum. Quos repellat error fuga accusamus temporibus similique.,,
Griffiths Group - Envisioneer Cutting-Edge Architectures,"68 Irene avenue, West Benjamin, L4A 1YL",+44(0)3069990592,Hazel Richardson,tmurphy@outlook.com,Proctors local,Non enim maxime excepturi id labore.,,
King-Greenwood - Generate Synergistic Systems,"316 Kieran underpass, New Anneton, SE7W 3DH",01614960908,Jennifer Jones,ianpalmer@gmail.com,Proctors local,Maiores odio est explicabo totam quos. Minima sit pariatur animi.,,
Frost-Scott - Strategize Leading-Edge Technologies,"8 Donna highway, East Albert, G99 5DN",+44(0)909 8790220,Christine Kelly,pattersondominic@hotmail.com,Online Collection Only,Rerum cupiditate libero omnis velit. Nobis recusandae exercitationem placeat. Necessitatibus alias eaque excepturi quod.,,
Scott-Bailey - Engage Back-End Platforms,"884 Marcus rapid, Browneborough, WV8M 8XF",0141 496 0940,Elliott Smith,qhowarth@martin.com,Proctors local,"Natus eum quasi. Ad molestias harum sequi.
Deserunt eveniet quia aliquam. Saepe cumque eaque labore tempora repellendus.",,
Davidson-Spencer - Utilize Impactful Web-Readiness,"624 Megan island, Smartville, E0K 3FS",+44116 496 0498,Alexandra Watson-Collins,liam52@williams.org,Online Collection Only,Corrupti eum nostrum suscipit magnam eos deserunt. Tempore necessitatibus eum sed repellendus facere.,,
"Jackson, Wright and Hayes - Re-Contextualize Wireless Users","3 Nicholas pass, North Janice, M6K 8XP",+44(0)131 4960043,Dr Graham Butler,ggallagher@outlook.com,Superstore,"Mollitia iure cupiditate accusamus minus. Repellendus hic qui itaque officiis.
Saepe magnam mollitia. Corrupti architecto non quod cumque nobis.",,
"Jenkins, Brooks and Ferguson - Re-Intermediate Web-Enabled Relationships","Studio 7, Davis mall, Port Jaynetown, FK3Y 0SZ",+44(0)1514960193,Ms Gillian Elliott,harrisonirene@riley.co.uk,Proctors local,Rem distinctio sint doloremque aperiam illum architecto. Occaecati cum facere id qui dicta voluptatem aspernatur.,,
McDonald LLC - Enhance Granular Eyeballs,"Studio 6, Marcus springs, South Barbara, W4W 1XJ",+44(0)306 999 0586,Eileen Carter,emilychapman@smith.com,Proctors local,"Cum laudantium soluta corporis. Enim voluptatum dolorum alias.
Sunt beatae ut impedit molestiae impedit. Enim nam culpa.",,
Scott-Murray - Streamline Interactive Supply-Chains,"20 Pratt common, Flemingfort, RH4X 6PZ",+44(0)1632960670,Marilyn Miles,gerard90@gmail.com,Proctors local,Eum culpa quis reiciendis impedit dolorem quae. Dolores esse sed fuga aut ipsam. Sequi harum fugiat consectetur fugit.,,
Taylor-Blackburn - Repurpose Real-Time Models,"5 Hussain bypass, Port Christine, L8 0ZH",+441632 960197,Katy Price,christian45@cox.com,Proctors local,"Magni provident velit ipsum occaecati et.
Accusamus quasi natus eos iure error maiores. Sapiente ea sequi. Aliquam impedit nisi enim sequi.",,
Kennedy Inc - Evolve Bleeding-Edge Functionalities,"280 Williams spring, West Hugh, CO3 5QL",(0121) 4960645,Katy Rose,masonrhys@yahoo.com,Proctors local,Expedita fuga aliquid dolores esse. Placeat laborum enim asperiores. Odio deleniti alias minus magni.,,
Webb-Morris - Drive Distributed Channels,"Flat 64z, Wilkinson mountain, Lindaside, DG9 1BY",0117 4960321,Peter Simpson,melanie42@hotmail.co.uk,Proctors local,Dolorem aut molestias impedit. Itaque esse ad corrupti. Accusamus unde animi vel occaecati. Quis animi natus expedita.,,
"Thomas, Chambers and Tucker - Reinvent Integrated Platforms","1 Thompson plaza, Holmesfurt, M70 0AJ",+44(0)121 496 0326,Bethan Thompson-Smith,naomiclarke@mason-lewis.co.uk,Online Collection Only,Autem aut libero autem saepe. Incidunt sed corrupti omnis voluptate quibusdam et.,,
Rose-Cox - Utilize E-Business E-Commerce,"Studio 2, Bibi glen, Duncanstad, SR17 7AX",+44114 4960673,Dr Lawrence Gould,lawrencewilliams@gmail.com,Proctors local,Minima sequi ut minus nesciunt ipsum dicta. Sint ullam error quia accusamus.,,
Barnes-Simpson - Synthesize User-Centric Supply-Chains,"Flat 1, Lord mountains, Jacksonbury, SG0X 7UU",(0191)4960088,Jayne Green,raymondjohnson@moran.biz,Online Collection Only,Distinctio iure voluptatibus debitis. Ab provident quaerat odit earum.,,
James-Norman - Benchmark Best-Of-Breed Info-Mediaries,"Flat 38f, Eric camp, Geraldinehaven, E33 5RU",+44(0)141 4960928,Mr John Holt,barrymorgan@newton-hale.org,Proctors local,Cum incidunt laboriosam pariatur. Dicta odit fugiat ad deleniti qui. Repellendus dolorum animi eligendi.,,
Parsons-Taylor - Incubate Cutting-Edge Bandwidth,"Studio 08J, James wells, North Marcus, N9E 1QT",+44(0)292018002,Jayne Carroll,lewisgeraldine@hotmail.co.uk,Proctors local,Distinctio ad assumenda vero voluptatum esse. Nesciunt expedita fugit accusamus. Nam suscipit voluptatem harum.,,
Oliver-Hurst - Drive Mission-Critical Deliverables,"2 Melanie rest, South Michelleberg, PE9N 2FX",+441414960193,Guy Farrell,emilyellis@hotmail.co.uk,Proctors local,Minus illo nisi nam unde. Commodi impedit consectetur alias ad repellat.,,
Jones-Harris - Matrix Interactive Action-Items,"947 Butler islands, West Russellville, G50 2QL",0113 4960404,Norman Barber,lauren51@outlook.com,Proctors local,Quia error voluptatum amet iure temporibus. Deleniti in similique deserunt rerum numquam.,,
"Rogers, Newton and Birch - Disintermediate Strategic Metrics","Studio 88I, Dodd loop, Lake Leonard, G91 9RE",(0191)4960446,Terence Lawson,rrandall@austin-lewis.com,Online Collection Only,Dignissimos voluptates corporis esse omnis. Magni distinctio dolorum voluptatem dolor debitis. Aliquam saepe in iure nulla officiis magni maiores.,,
"Pearson, Griffiths and Burke - Integrate End-To-End Info-Mediaries","Studio 7, Ricky crossing, Lynneburgh, PA2 3XX",+44(0)131 4960660,Geoffrey Talbot,hardydebra@lawrence.net,Online Collection Only,Fugiat eaque quod qui velit ut laboriosam. Molestias esse incidunt a. Mollitia non voluptate blanditiis consectetur fugiat quidem.,,
Cross Ltd - Utilize Wireless Experiences,"750 Wilson track, Henryport, PA5Y 3NU",+44116 4960415,Ms Ashleigh Patel,diana41@hotmail.co.uk,Proctors local,Voluptatum quo debitis consequatur dignissimos repudiandae ad. Omnis sint sunt eius. Cupiditate pariatur dolores nobis tempore nam nesciunt.,,
Shaw and Sons - Engage Robust Relationships,"7 Jackson park, Jamesbury, N6D 7JW",(028)9018279,Ms Ruth Jones,jacqueline28@outlook.com,Superstore,Suscipit iure illum unde. Quidem aspernatur explicabo consequuntur. Expedita exercitationem ipsum rem.,,
Harper Ltd - Leverage Distributed Functionalities,"Flat 8, Gillian knolls, East Shaneside, BR0N 6US",01314960289,Tony Lee,dennisphilip@hotmail.co.uk,Proctors local,Doloribus expedita quidem amet odit quasi sit provident. Repellat exercitationem reiciendis earum esse.,,
Smart Inc - Envisioneer Transparent Vortals,"840 James alley, Neilbury, ME81 8LX",(0909) 8790646,Rhys Brookes,darren19@hotmail.com,Superstore,Architecto at labore voluptas iste dolor voluptatum. Expedita facere nobis libero fuga.,,
"Smith, Walters and Jones - Enable Next-Generation Applications","Flat 00, Cameron lights, Jemmahaven, W7 3DF",+44(0)9098790479,Barbara Morris,kyle55@smith-mistry.com,Proctors local,Mollitia illo molestiae vero officia veritatis pariatur veritatis. Voluptatem et expedita sequi dolorum modi. Similique earum molestiae saepe.,,
"Rogers, Miller and Williams - Target Next-Generation Infrastructures","Studio 35, Shaw squares, Clarechester, E8B 7QU",+448081570006,Jemma Smith,fharrison@gmail.com,Superstore,Fuga nisi laboriosam cumque fugit.,,
Robson Inc - Visualize Web-Enabled Infrastructures,"6 Hooper port, Jackmouth, M9 9AW",029 2018 0709,Gary Davies,lindsey29@hotmail.com,Online Collection Only,Mollitia eum rerum suscipit. Deleniti reiciendis porro necessitatibus. Ea molestiae ex similique possimus nihil quidem.,,
"White, Miah and Bond - Optimize Synergistic Web Services","033 Jessica throughway, Wendytown, W5H 3BY",(020)74960883,Dr Bryan Elliott,chapmansophie@middleton-lewis.net,Proctors local,Non ea eum molestiae nulla amet id.,,
Turner-Harrison - Whiteboard Synergistic Functionalities,"Studio 1, Allen trafficway, Yatesland, M1D 3HS",01514960142,Ms Leah Watson,ltownsend@hotmail.co.uk,Superstore,Atque cum ea. Laboriosam maiores dicta facilis officia totam consequatur. Ipsum necessitatibus ea culpa odit.,,
Clarke PLC - Synthesize Magnetic Technologies,"627 Jones inlet, Tuckerchester, CM8Y 9RA",(01632)960883,Ms Danielle Moore,lee80@booth.com,Online Collection Only,Libero minima consectetur expedita. Expedita ex fugiat accusantium aperiam numquam debitis. Animi nesciunt aspernatur repudiandae impedit.,,
White Ltd - Embrace Cross-Media Niches,"Studio 35, Roberts plaza, North Sylvia, E51 6GH",+44115 496 0973,Dr Darren Wallace,curtisnatasha@sanderson.co.uk,Proctors local,Odit mollitia dolore dolor sint quo voluptate aliquid. Incidunt reiciendis labore quos.,,
Taylor-Hart - Engage Next-Generation Paradigms,"93 Brian drive, Buckleytown, N5 7RH",+44(0)29 2018021,Frederick Williams,duncanbarnett@shaw.com,Online Collection Only,"Omnis doloribus incidunt praesentium. Dolore est aliquid sequi molestiae dolores ipsam ipsa.
Sit non facere explicabo doloremque quidem dolor.",,
Dale Inc - Embrace Out-Of-The-Box Action-Items,"Studio 96D, Connor valley, Nicoletown, BT5W 1YH",+44(0)191 496 0515,Miss Debra Jones,townsendheather@gmail.com,Superstore,Corrupti architecto blanditiis fugiat repudiandae dignissimos natus eos. Error enim delectus distinctio optio inventore inventore quaerat.,,
Bevan PLC - Extend Mission-Critical Relationships,"Studio 68m, Barbara course, Lake Laurenside, E3 8FH",+44(0)28 9018367,Mrs Susan Moore,nicola00@evans-nicholson.com,Superstore,Voluptatibus repellat sequi. Nulla harum amet quia.,,
Williams-Wong - Drive Holistic Channels,"Flat 15o, Lisa divide, Damianton, WR66 6ZP",+44(0)1184960174,Dr Hannah Smith,nicola06@hotmail.com,Online Collection Only,Excepturi quia deleniti at praesentium.,,
Owens-Howe - Exploit Out-Of-The-Box Methodologies,"199 Leonard hollow, Mitchellland, HS42 4BA",028 9018 0719,Paula Houghton,steven53@king-bennett.com,Online Collection Only,Voluptatibus vero labore non debitis doloribus. Nesciunt fugiat eos ad quos. Repellendus excepturi reprehenderit.,,
Weston Group - Strategize B2C E-Business,"Studio 1, Lawrence rapid, Elliotthaven, G36 0SD",+44(0)161 4960765,Gerald Ford,josephwhitehead@hotmail.com,Online Collection Only,Deleniti optio quisquam. Architecto eius dolore dolores. Assumenda illo nesciunt.,,
"Page, Ali and Ward - Scale B2B Models","227 Fiona rue, Boothfurt, NG4A 6AN",+44(0)1314960273,Carl Shah,elliottmitchell@outlook.com,Online Collection Only,Rem qui corrupti iusto odio velit. Doloremque magnam aut nihil. Veritatis unde atque sunt.,,
Williams and Sons - Architect User-Centric Eyeballs,"Studio 46, Jenkins fall, Lyndaton, GY53 8FU",(0306)9990967,Hayley Lowe,blakelinda@yahoo.com,Proctors local,Ullam consequuntur nemo consequatur inventore repellat nobis. Sint perspiciatis alias ipsum facilis similique.,,
"Cox, Watkins and Chapman - Enhance Collaborative Communities","818 Bell walks, Lyonsmouth, B8 0XG",(0121) 496 0314,Joan Davey,glenn01@sullivan.com,Superstore,Labore aliquam minima unde vel nihil. Illum atque delectus.,,
"O'Sullivan, Thomson and Greenwood - Productize Ubiquitous Infrastructures","27 Johnson tunnel, Davisonland, G8 9LU",+44(0)151 496 0558,Miss Janet Brookes,bradley63@hotmail.co.uk,Proctors local,"Numquam aliquam maiores nihil illum assumenda.
Vero eius soluta totam. Enim explicabo laudantium officia.",,
Ali PLC - Integrate Extensible Platforms,"Studio 5, Brennan mission, Murraystad, L6 9NJ",+44(0)20 74960090,Caroline Taylor,nicolemoss@parry.com,Superstore,Nulla illo aliquam placeat tempore animi cumque. Nobis perspiciatis impedit doloremque. Molestiae sed iste.,,
Spencer Group - Generate Web-Enabled E-Commerce,"Flat 50E, Graham well, Ashleighshire, W90 0DY",+44(0)1314960229,Kathleen Lane-Reid,taylorcarly@hotmail.co.uk,Online Collection Only,In explicabo eius quia. Modi excepturi id laborum error autem inventore. Minus provident libero ex illum culpa adipisci.,,
"Hall, Powell and Griffiths - Scale Mission-Critical Infrastructures","Studio 42, Shaw haven, Donaldtown, TW3E 7RS",01914960247,Ronald Conway,gallagherheather@hotmail.co.uk,Proctors local,Minima quia reprehenderit tempore. Qui perferendis eos.,,
Warren-Elliott - Transition User-Centric Roi,"14 Davey bypass, Rachaelchester, EC8P 9ZE",+44(0)113 4960958,Miss Amanda Watts,tomcollier@jackson-cooper.biz,Online Collection Only,Fuga repellat suscipit perferendis quod est.,,
Kirk and Sons - Visualize Frictionless E-Commerce,"252 Abbie village, East Abbieton, B0 0UN",+441632960833,Cheryl Houghton-Smith,qparker@davies.info,Superstore,Iusto accusantium libero eius omnis. Molestiae accusantium libero eos itaque sint velit.,,
Robinson Ltd - Cultivate Value-Added Bandwidth,"Flat 1, Gavin cliffs, Lake Emily, G5 3DP",+44(0)121 496 0115,Kirsty Sykes,xarmstrong@hotmail.co.uk,Superstore,Nihil quod at eos exercitationem ea. Nostrum veritatis a dolor. Et voluptate beatae hic. Non dolor minus eligendi deserunt harum impedit.,,
Bell Inc - Generate Intuitive Mindshare,"Studio 4, Miles ranch, Harveyton, G41 7RR",+44131 496 0469,Mrs Natasha Allan,grahameric@yahoo.co.uk,Superstore,Reiciendis quaerat mollitia exercitationem. Eius facilis ratione sit repellat minima. Dolores perspiciatis id fugiat.,,
Phillips-Middleton - Strategize Extensible Action-Items,"Studio 84x, Katie lock, East Michael, S4 4GD",(0191) 4960508,Aimee Williams,paulinewood@yahoo.co.uk,Online Collection Only,A soluta veniam eveniet. Numquam voluptates perspiciatis fuga. Quibusdam sapiente reiciendis at aliquid ab.,,
Gardner-Barrett - Utilize Next-Generation Communities,"Flat 6, Eileen circles, South Christianshire, M00 2WW",+44115 4960804,Mrs Hazel Smith,nigel23@harris.info,Proctors local,Enim eveniet quod ducimus. Reiciendis perferendis veniam provident voluptas laborum hic.,,
Baker Inc - Maximize Virtual Eyeballs,"Flat 27r, Ward crossing, South Eileen, HP6V 2PT",+44(0)115 4960533,Dr Marc Kaur,iankirk@sims.com,Superstore,Rerum pariatur dolores quos quidem aliquid. Aliquam nihil cum odio animi in.,,
Buckley Ltd - Deploy Strategic Synergies,"42 Randall avenue, Harryhaven, M1 0XE",01164960811,Ms Patricia Jones,dpotts@barnett.co.uk,Superstore,Beatae explicabo iste cumque doloribus quis. Recusandae nobis ducimus libero.,,
Barnes Ltd - Embrace Dot-Com Bandwidth,"46 Robert village, Donaldhaven, B2 7TG",(0131) 496 0128,Liam Jackson-Taylor,juliemorrison@outlook.com,Proctors local,Necessitatibus nisi deleniti asperiores tempora commodi exercitationem. Velit consequuntur repellendus.,,
Potter-Jordan - Transition Magnetic Interfaces,"4 Lorraine lane, North Kirstyburgh, PA0R 4TN",01174960560,Sandra Williams,stanley52@harrison.info,Superstore,Ab quam amet sequi rem laboriosam consequatur. Ea quia quae maiores odit at mollitia. Facilis dolor officiis doloremque ratione inventore.,,
Davies-Baker - Reinvent Open-Source Web-Readiness,"974 Sheila wall, Lambview, N9 2PH",01214960692,Dr Jeremy Fisher,hchamberlain@outlook.com,Online Collection Only,Laudantium vel facere provident harum dolorum. Quod expedita amet.,,
"Ingram, Stephens and Morris - Morph End-To-End Markets","078 Jordan squares, Edwardsview, WN73 7JJ",01154960301,Brian Cooper,christopher20@barnes.com,Online Collection Only,"Recusandae voluptatum delectus quae quibusdam magni optio recusandae.
Magni at expedita officiis quae mollitia libero.",,
Jordan Inc - Extend Revolutionary Applications,"Studio 2, Jemma courts, Archerfurt, SM2Y 7LT",+44(0)114 496 0616,Gerald Riley,nigel30@singh-taylor.com,Superstore,Sint tempora provident animi quod possimus tempora.,,
Hargreaves-Stone - Optimize Synergistic Systems,"Studio 33, Callum mall, Lake Annachester, E4W 4XZ",+44(0)141 4960874,Dr Barbara Williams,hwilliams@outlook.com,Superstore,Voluptas modi illum delectus nihil ullam molestias. Labore sunt tempore.,,
"Watson, Steele and Taylor - Extend Scalable Communities","688 Bradley lake, South Jenna, E5U 4BP",+44131 4960166,Lesley Ford,abarnett@yahoo.com,Proctors local,Et nihil ex omnis provident culpa iusto explicabo.,,
Graham and Sons - Expedite Open-Source Channels,"504 Roberts unions, Martinfort, JE0A 7WU",+44(0)116 496 0967,Dr Brian Gray,kennedyrobin@smith.com,Online Collection Only,"Voluptatem possimus accusantium aspernatur. Ducimus sequi neque voluptatum.
Illum incidunt mollitia assumenda placeat autem. Modi veniam iure hic.",,
Phillips PLC - Deliver Frictionless Communities,"Flat 4, Lynn extension, Mollyhaven, IM70 2BZ",+44(0)808 157 0948,Mr Dennis Ward,qhart@outlook.com,Online Collection Only,Mollitia ipsum deserunt id id inventore consequatur doloribus. Excepturi ipsa in quam sunt.,,
Lee-Cameron - Redefine Frictionless Partnerships,"Studio 15, Jason viaduct, Cameronmouth, DL79 1DT",0113 4960380,Jessica Allen,lbegum@gmail.com,Superstore,Totam itaque odio. Aut libero fugit numquam dignissimos. Quibusdam dignissimos repellat quas.,,
